Time_Sick,Group,Time_Borderline,Time_Healthy
37.5,Plant_TST,0,96.55172414
16.66666667,Plant_TST,10.34482759,86.20689655
15,Plant_TST,3.448275862,96.55172414
14.28571429,Plant_TST,6.896551724,93.10344828
12.5,Plant_TST,0,100
12.5,Plant_TST,0,100
10,Plant_TST,24.13793103,68.96551724
10,Plant_TST,17.24137931,82.75862069
8.333333333,Plant_TST,0,100
7.142857143,Plant_TST,6.896551724,93.10344828
6.896551724,Plant_TST,0,100
6.666666667,Plant_TST,3.571428571,96.42857143
5.263157895,Plant_TST,22.22222222,74.07407407
5.263157895,Plant_TST,40.74074074,59.25925926
5,Plant_TST,11.11111111,88.88888889
4.761904762,Plant_TST,7.692307692,88.46153846
4.761904762,Plant_TST,7.692307692,92.30769231
4,Plant_TST,0,96.15384615
3.846153846,Plant_TST,11.53846154,84.61538462
3.846153846,Plant_TST,0,100
3.846153846,Plant_TST,8,88
3.703703704,Plant_TST,8,92
3.448275862,Plant_TST,8,92
3.448275862,Plant_TST,0,100
0,Plant_TST,16.66666667,83.33333333
0,Plant_TST,12.5,75
0,Plant_TST,17.39130435,82.60869565
0,Plant_TST,21.73913043,78.26086957
0,Plant_TST,9.090909091,90.90909091
0,Plant_TST,0,100
0,Plant_TST,14.28571429,80.95238095
0,Plant_TST,23.80952381,76.19047619
0,Plant_TST,19.04761905,76.19047619
0,Plant_TST,35,60
0,Plant_TST,25,60
0,Plant_TST,21.05263158,73.68421053
0,Plant_TST,15.78947368,78.94736842
0,Plant_TST,5.263157895,94.73684211
0,Plant_TST,31.57894737,68.42105263
0,Plant_TST,11.76470588,88.23529412
0,Plant_TST,5.882352941,94.11764706
0,Plant_TST,6.25,93.75
0,Plant_TST,0,100
0,Plant_TST,33.33333333,60
0,Plant_TST,0,100
0,Plant_TST,35.71428571,64.28571429
0,Plant_TST,0,100
0,Plant_TST,0,92.85714286
0,Plant_TST,0,100
0,Plant_TST,7.692307692,92.30769231
0,Plant_TST,0,100
0,Plant_TST,23.07692308,76.92307692
0,Plant_TST,0,100
0,Plant_TST,16.66666667,83.33333333
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,16.66666667,75
0,Plant_TST,0,100
0,Plant_TST,8.333333333,91.66666667
0,Plant_TST,16.66666667,83.33333333
0,Plant_TST,18.18181818,81.81818182
0,Plant_TST,60,40
0,Plant_TST,10,90
0,Plant_TST,0,90
0,Plant_TST,50,40
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,12.5,75
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,12.5,50
0,Plant_TST,12.5,87.5
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,14.28571429,85.71428571
0,Plant_TST,42.85714286,57.14285714
0,Plant_TST,0,85.71428571
0,Plant_TST,28.57142857,71.42857143
0,Plant_TST,0,100
0,Plant_TST,0,100
0,Plant_TST,66.66666667,33.33333333
0,Plant_TST,16.66666667,66.66666667
0,Plant_TST,50,50
0,Plant_TST,0,100
0,Plant_TST,0,100
66.66666667,Control_TST,33.33333333,0
50,Control_TST,16.66666667,33.33333333
50,Control_TST,50,0
33.33333333,Control_TST,0,66.66666667
33.33333333,Control_TST,66.66666667,0
25,Control_TST,25,50
25,Control_TST,50,25
23.07692308,Control_TST,23.07692308,53.84615385
20,Control_TST,80,0
18.51851852,Control_TST,33.33333333,48.14814815
18.18181818,Control_TST,45.45454545,36.36363636
15.38461538,Control_TST,38.46153846,46.15384615
14.81481481,Control_TST,18.51851852,66.66666667
14.81481481,Control_TST,11.11111111,74.07407407
14.28571429,Control_TST,57.14285714,28.57142857
12.5,Control_TST,25,62.5
12.5,Control_TST,37.5,50
12,Control_TST,4,84
11.11111111,Control_TST,0,88.88888889
10.71428571,Control_TST,21.42857143,67.85714286
10.71428571,Control_TST,17.85714286,71.42857143
8.333333333,Control_TST,8.333333333,83.33333333
7.142857143,Control_TST,10.71428571,82.14285714
7.142857143,Control_TST,28.57142857,64.28571429
6.25,Control_TST,12.5,81.25
5.263157895,Control_TST,5.263157895,89.47368421
5,Control_TST,10,85
4.761904762,Control_TST,14.28571429,80.95238095
3.703703704,Control_TST,18.51851852,77.77777778
3.703703704,Control_TST,7.407407407,88.88888889
3.703703704,Control_TST,0,96.2962963
3.448275862,Control_TST,24.13793103,72.4137931
0,Control_TST,13.79310345,86.20689655
0,Control_TST,13.79310345,86.20689655
0,Control_TST,3.571428571,96.42857143
0,Control_TST,7.142857143,92.85714286
0,Control_TST,3.703703704,96.2962963
0,Control_TST,7.407407407,92.59259259
0,Control_TST,0,100
0,Control_TST,7.407407407,92.59259259
0,Control_TST,11.11111111,88.88888889
0,Control_TST,7.407407407,92.59259259
0,Control_TST,0,100
0,Control_TST,3.703703704,96.2962963
0,Control_TST,11.11111111,88.88888889
0,Control_TST,15.38461538,84.61538462
0,Control_TST,3.846153846,96.15384615
0,Control_TST,15.38461538,84.61538462
0,Control_TST,16.66666667,83.33333333
0,Control_TST,8.333333333,91.66666667
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,8.333333333,91.66666667
0,Control_TST,8.695652174,91.30434783
0,Control_TST,13.63636364,86.36363636
0,Control_TST,4.545454545,95.45454545
0,Control_TST,14.28571429,85.71428571
0,Control_TST,0,100
0,Control_TST,30,70
0,Control_TST,5.263157895,94.73684211
0,Control_TST,5.263157895,94.73684211
0,Control_TST,22.22222222,77.77777778
0,Control_TST,17.64705882,82.35294118
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,6.666666667,93.33333333
0,Control_TST,0,100
0,Control_TST,7.692307692,92.30769231
0,Control_TST,23.07692308,76.92307692
0,Control_TST,0,100
0,Control_TST,7.692307692,92.30769231
0,Control_TST,0,100
0,Control_TST,8.333333333,91.66666667
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,10,90
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,12.5,87.5
0,Control_TST,0,100
0,Control_TST,12.5,87.5
0,Control_TST,0,100
0,Control_TST,42.85714286,57.14285714
0,Control_TST,71.42857143,28.57142857
0,Control_TST,57.14285714,42.85714286
0,Control_TST,33.33333333,66.66666667
0,Control_TST,100,0
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,75,25
0,Control_TST,25,75
0,Control_TST,33.33333333,66.66666667
0,Control_TST,66.66666667,33.33333333
0,Control_TST,0,100
